 id_filial                                                               descricao  empresa               desc_empresa  id_produto  id_epi                       descricao_produto  id_tamanho qtde_entrada saldoestoque             dataentrada
       449                                  POSTERUS SUPERMERCADOS LTDA. GOIANESIA       15     POSTERUS SUPERMERCADOS      149457      22          BOTA HIDROFUGADA BRANCA TAM 42          22         None     0.000000 2023-08-08 00:00:00.000
        25                             MATEUS SUPERMERCADOS S.A. HIPER NOVA MARABA        2       MATEUS SUPERMERCADOS      502326       3                        BALACLAVA BRANCA          11         None     0.000000 2023-08-03 00:00:00.000
        35                               MATEUS SUPERMERCADOS S.A. SUPER CASTANHAL        2       MATEUS SUPERMERCADOS      361264      80                        LUVA DE PU TAM G           4         None     0.000000 2023-08-02 00:00:00.000
       426                                  POSTERUS SUPERMERCADOS LTDA. SAO FELIX       15     POSTERUS SUPERMERCADOS      502312      77           AVENTAL EM VINIL TRANSPARENTE          11         None     0.000000 2023-08-08 00:00:00.000
        38                                  MATEUS SUPERMERCADOS S.A. MIX ALTAMIRA        2       MATEUS SUPERMERCADOS      502312      77           AVENTAL EM VINIL TRANSPARENTE          11         None     0.000000 2023-08-04 00:00:00.000
        38                                  MATEUS SUPERMERCADOS S.A. MIX ALTAMIRA        2       MATEUS SUPERMERCADOS       52779      19             BOTA COM BICO DE ACO TAM 37          17     0.000000     0.000000 2023-08-04 00:00:00.000
        18                                MATEUS SUPERMERCADOS S.A. SUPER COHATRAC        2       MATEUS SUPERMERCADOS       89953      26            CALCA FRIGORIFICA AZUL TAM M           3     2.000000     0.000000 2016-06-24 08:21:11.590
       254                        MATEUS SUPERMERCADOS S.A. MIX PARQUE DOS CARAJAS        2       MATEUS SUPERMERCADOS       52705      72                       LUVA P/FRIO TAM M           3         None     0.000000 2023-08-01 00:00:00.000
       268                               MATEUS SUPERMERCADOS S.A. MIX PARAGOMINAS        2       MATEUS SUPERMERCADOS      243807      34         SAPATO STICK SHOE BRANCO TAM 36          16         None     0.000000 2023-08-09 00:00:00.000
        46                                 MATEUS SUPERMERCADOS S.A. SUPER MAGUARI        2       MATEUS SUPERMERCADOS       89959      21       BOTA PVC CANO MEDIO BRANCA TAM 38          18     0.000000     0.000000 2023-08-03 00:00:00.000
       464                            POSTERUS SUPERMERCADOS LTDA. CAMINO TOME ACU       15     POSTERUS SUPERMERCADOS      502326       3                        BALACLAVA BRANCA          11         None     0.000000 2023-08-08 00:00:00.000
         5                                   MATEUS SUPERMERCADOS S.A. SUPER COHAB        2       MATEUS SUPERMERCADOS       52334      23        BOTA COM BICO DE PLASTICO TAM 41          21     1.000000     0.000000 2016-04-30 09:44:48.537
        93                                   MATEUS SUPERMERCADOS S.A. MIX MAIOBAO        2       MATEUS SUPERMERCADOS       53536      19             BOTA COM BICO DE ACO TAM 45          25     2.000000     0.000000 2014-09-13 08:50:08.160
        20                                   MATEUS SUPERMERCADOS S.A. MIX VINHAIS        2       MATEUS SUPERMERCADOS       52781      19             BOTA COM BICO DE ACO TAM 42          22     1.000000     0.000000 2016-06-16 12:11:14.530
        20                                   MATEUS SUPERMERCADOS S.A. MIX VINHAIS        2       MATEUS SUPERMERCADOS       89959      21       BOTA PVC CANO MEDIO BRANCA TAM 38          18     2.000000     0.000000 2016-05-25 15:30:04.313
        22                     MATEUS SUPERMERCADOS S.A. SUPER IMPERIAL IMPERATRIZ        2       MATEUS SUPERMERCADOS       89964      21       BOTA PVC CANO MEDIO BRANCA TAM 41          21     1.000000     0.000000 2016-03-16 11:12:23.117
        26                               MATEUS SUPERMERCADOS S.A. MIX NOVA MARABA        2       MATEUS SUPERMERCADOS       52711      15                            LUVA VAQUETA           2     2.000000     0.000000 2016-05-10 10:02:37.417
        20                                   MATEUS SUPERMERCADOS S.A. MIX VINHAIS        2       MATEUS SUPERMERCADOS      243811      34         SAPATO STICK SHOE BRANCO TAM 40          20     1.000000     0.000000 2016-03-12 18:22:22.117
        27                                    MATEUS SUPERMERCADOS S.A. SUPER TURU        2       MATEUS SUPERMERCADOS       52773      19             BOTA COM BICO DE ACO TAM 35          15     1.000000     0.000000 2016-06-23 09:55:58.570
        22                     MATEUS SUPERMERCADOS S.A. SUPER IMPERIAL IMPERATRIZ        2       MATEUS SUPERMERCADOS       52736       2      CAPACETE ABA FRONTA BRANCO C/ CARN          11     1.000000     0.000000 2016-02-25 17:51:04.013
        48                                 MATEUS SUPERMERCADOS S.A. MIX PEDREIRAS        2       MATEUS SUPERMERCADOS       52101      23        BOTA COM BICO DE PLASTICO TAM 36          16     1.000000     0.000000 2019-01-16 07:34:12.250
       453                                 POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA       15     POSTERUS SUPERMERCADOS       52328      23        BOTA COM BICO DE PLASTICO TAM 39          19     1.000000     6.000000 2024-03-07 15:37:36.083
       508                       MATEUS SUPERMERCADOS S.A. MIX NOSSA SRA DA GLORIA        2       MATEUS SUPERMERCADOS       89968      21       BOTA PVC CANO MEDIO BRANCA TAM 43          23     2.000000     1.000000 2024-01-16 10:55:58.710
        61         INDUSTRIA DE PAES E MASSAS MATEUS LTDA. C PANIFICACAO CONGELADA        1 INDUSTRIA DE MASSAS E PAES      149430      17                        TALABARTE TIPO Y          11     2.000000     2.000000 2024-03-15 18:15:31.787
        29                           MATEUS SUPERMERCADOS S.A. MIX JARDIM TROPICAL        2       MATEUS SUPERMERCADOS       56245       8                       LUVA LATEX TAM GG           4     4.000000     0.000000 2016-04-27 13:00:45.293
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       52780      19             BOTA COM BICO DE ACO TAM 40          20     1.000000     0.000000 2015-12-15 15:20:45.690
        87                                   ARMAZEM MATEUS S.A. CD 87 DAVINOPOLIS        4         ARMAZEM MATEUS S.A      149456      22          BOTA HIDROFUGADA BRANCA TAM 41          21    10.000000     0.000000 2018-09-26 14:11:24.093
       100                                       ARMAZEM MATEUS S.A. CD 100 BALSAS        4         ARMAZEM MATEUS S.A       52782      19             BOTA COM BICO DE ACO TAM 41          21     1.000000     0.000000 2015-02-09 14:10:28.040
        27                                    MATEUS SUPERMERCADOS S.A. SUPER TURU        2       MATEUS SUPERMERCADOS       52777      19             BOTA COM BICO DE ACO TAM 39          19     1.000000     0.000000 2016-01-26 21:30:04.010
       115                                        ARMAZEM MATEUS S.A. CD 115 BELEM        4         ARMAZEM MATEUS S.A       52774      19             BOTA COM BICO DE ACO TAM 36          16    10.000000     0.000000 2019-01-16 18:20:40.877
         2                              MATEUS SUPERMERCADOS S.A. SUPER RUA CEARA         2       MATEUS SUPERMERCADOS       52378      23        BOTA COM BICO DE PLASTICO TAM 42          22     1.000000     0.000000 2016-05-27 10:23:45.103
        65                             MATEUS SUPERMERCADOS S.A. ELETRO SANTA INES        2       MATEUS SUPERMERCADOS       52782      19             BOTA COM BICO DE ACO TAM 41          21     1.000000     0.000000 2015-07-02 09:50:05.057
         2                              MATEUS SUPERMERCADOS S.A. SUPER RUA CEARA         2       MATEUS SUPERMERCADOS       52333      23        BOTA COM BICO DE PLASTICO TAM 40          20     1.000000     0.000000 2016-05-23 17:52:05.287
        93                                   MATEUS SUPERMERCADOS S.A. MIX MAIOBAO        2       MATEUS SUPERMERCADOS      149396      24            BOTA WORK BOOT MARRON TAM 39          19     1.000000     0.000000 2015-08-28 10:41:38.523
        26                               MATEUS SUPERMERCADOS S.A. MIX NOVA MARABA        2       MATEUS SUPERMERCADOS       52705      72                       LUVA P/FRIO TAM M           3     5.000000     0.000000 2016-05-17 11:20:01.057
        15                              MATEUS SUPERMERCADOS S.A. SUPER ACAILANDIA        2       MATEUS SUPERMERCADOS      149369      21       BOTA PVC CANO MEDIO BRANCA TAM 37          17     1.000000     0.000000 2016-02-18 11:30:29.763
       437                      POSTERUS SUPERMERCADOS LTDA. CONCEICAO DO ARAGUAIA       15     POSTERUS SUPERMERCADOS       52704      72                       LUVA P/FRIO TAM G           4         None     0.000000 2023-08-08 00:00:00.000
       464                            POSTERUS SUPERMERCADOS LTDA. CAMINO TOME ACU       15     POSTERUS SUPERMERCADOS      149455      22          BOTA HIDROFUGADA BRANCA TAM 40          20         None     0.000000 2023-08-08 00:00:00.000
       426                                  POSTERUS SUPERMERCADOS LTDA. SAO FELIX       15     POSTERUS SUPERMERCADOS       52328      23        BOTA COM BICO DE PLASTICO TAM 39          19     0.000000     0.000000 2023-08-08 00:00:00.000
        25                             MATEUS SUPERMERCADOS S.A. HIPER NOVA MARABA        2       MATEUS SUPERMERCADOS       89953      26            CALCA FRIGORIFICA AZUL TAM M           3         None     0.000000 2023-08-03 00:00:00.000
       426                                  POSTERUS SUPERMERCADOS LTDA. SAO FELIX       15     POSTERUS SUPERMERCADOS       52705      72                       LUVA P/FRIO TAM M           3     0.000000     0.000000 2023-08-08 00:00:00.000
       261                                  MATEUS SUPERMERCADOS S.A. MIX REDENCAO        2       MATEUS SUPERMERCADOS      149452      22          BOTA HIDROFUGADA BRANCA TAM 39          19         None     0.000000 2023-08-08 00:00:00.000
        35                               MATEUS SUPERMERCADOS S.A. SUPER CASTANHAL        2       MATEUS SUPERMERCADOS       52698      44                MASCARA DESCARTAVEL PFF2          11         None     0.000000 2023-08-01 00:00:00.000
        22                     MATEUS SUPERMERCADOS S.A. SUPER IMPERIAL IMPERATRIZ        2       MATEUS SUPERMERCADOS       52003      23        BOTA COM BICO DE PLASTICO TAM 35          15     1.000000     0.000000 2016-03-16 11:12:23.117
        21                           MATEUS SUPERMERCADOS S.A. SUPER CAPIM DOURADO        2       MATEUS SUPERMERCADOS      243805      34         SAPATO STICK SHOE BRANCO TAM 34          14     1.000000     0.000000 2016-03-31 18:07:45.760
       508                       MATEUS SUPERMERCADOS S.A. MIX NOSSA SRA DA GLORIA        2       MATEUS SUPERMERCADOS      502274      78                 CAMISA ANTICHAMAS TAM M           3     2.000000     2.000000 2024-03-05 17:29:35.663
       285                                 MATEUS SUPERMERCADOS S.A. SUPER CRATEUS        2       MATEUS SUPERMERCADOS      149412      24            BOTA WORK BOOT MARRON TAM 41          21     1.000000     1.000000 2024-01-02 12:03:02.850
       285                                 MATEUS SUPERMERCADOS S.A. SUPER CRATEUS        2       MATEUS SUPERMERCADOS       52702      13                    LUVA MALHA ACO TAM P           2     1.000000     0.000000 2024-02-13 11:29:41.660
         5                                   MATEUS SUPERMERCADOS S.A. SUPER COHAB        2       MATEUS SUPERMERCADOS       52779      19             BOTA COM BICO DE ACO TAM 37          17     1.000000     0.000000 2016-06-22 10:23:01.557
       453                                 POSTERUS SUPERMERCADOS LTDA. ITUPIRANGA       15     POSTERUS SUPERMERCADOS      174348      25           JAPONA FRIGORIFICA AZUL TAM G           4     1.000000     2.000000 2024-04-03 19:33:36.293
       360                                              ARMAZEM BRASIL MAX ATACADO       54         BRASIL MAX ATACADO      174348      25           JAPONA FRIGORIFICA AZUL TAM G           4     5.000000     0.000000 2023-07-18 09:51:09.127
       502                             MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA        2       MATEUS SUPERMERCADOS       52704      72                       LUVA P/FRIO TAM G           4     5.000000     5.000000 2024-04-12 19:35:08.300
         6                                  MATEUS SUPERMERCADOS S.A. - RENASCENCA        2       MATEUS SUPERMERCADOS       63281      29                 PROTETOR AURICULAR PLUG          11     1.000000     0.000000 2016-06-06 08:54:30.180
        27                                    MATEUS SUPERMERCADOS S.A. SUPER TURU        2       MATEUS SUPERMERCADOS       52783      19             BOTA COM BICO DE ACO TAM 43          23     1.000000     0.000000 2016-02-26 15:23:22.257
        21                           MATEUS SUPERMERCADOS S.A. SUPER CAPIM DOURADO        2       MATEUS SUPERMERCADOS      149369      21       BOTA PVC CANO MEDIO BRANCA TAM 37          17     1.000000     0.000000 2016-04-23 14:20:05.390
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS      149405      24            BOTA WORK BOOT MARRON TAM 40          20     1.000000     0.000000 2013-10-25 00:00:38.910
        23                              MATEUS SUPERMERCADOS S.A. SUPER CAJAZEIRAS        2       MATEUS SUPERMERCADOS       52003      23        BOTA COM BICO DE PLASTICO TAM 35          15     1.000000     0.000000 2016-03-23 17:00:00.590
        95                                MATEUS SUPERMERCADOS S.A. MIX TAMANDARE         2       MATEUS SUPERMERCADOS       89953      26            CALCA FRIGORIFICA AZUL TAM M           3     6.000000     0.000000 2015-11-25 15:41:35.163
       502                             MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA        2       MATEUS SUPERMERCADOS      310221      33                         MANGOTE TERMICO          11     2.000000     2.000000 2023-10-21 11:14:31.410
         7                                  MATEUS SUPERMERCADOS S.A. HIPER COHAMA        2       MATEUS SUPERMERCADOS       52696      27                      AVENTAL PVC BRANCO          11     1.000000     0.000000 2017-01-26 16:53:16.300
       415                               POSTERUS SUPERMERCADOS LTDA. SAO BERNARDO       15     POSTERUS SUPERMERCADOS      240534      26            CALCA FRIGORIFICA AZUL TAM P           2     1.000000     0.000000 2023-12-19 10:37:18.530
        28                               MATEUS SUPERMERCADOS S.A. MIX PARAUAPEBAS        2       MATEUS SUPERMERCADOS       52773      19             BOTA COM BICO DE ACO TAM 35          15     5.000000     0.000000 2015-10-22 17:30:31.910
         8                               MATEUS SUPERMERCADOS S.A. SUPER TURUZINHO        2       MATEUS SUPERMERCADOS       52333      23        BOTA COM BICO DE PLASTICO TAM 40          20     1.000000     0.000000 2016-06-25 16:10:24.463
        28                               MATEUS SUPERMERCADOS S.A. MIX PARAUAPEBAS        2       MATEUS SUPERMERCADOS       52380      23        BOTA COM BICO DE PLASTICO TAM 43          23     2.000000     0.000000 2016-03-29 11:43:32.937
         7                                  MATEUS SUPERMERCADOS S.A. HIPER COHAMA        2       MATEUS SUPERMERCADOS      149440      22          BOTA HIDROFUGADA BRANCA TAM 34          14     1.000000     0.000000 2016-03-23 14:00:00.773
