 id_filial                                                               descricao  empresa               desc_empresa  id_produto  id_epi                       descricao_produto  id_tamanho qtde_entrada saldoestoque             dataentrada
       252                         MATEUS SUPERMERCADOS S.A. MIX TERESINA-NOVAFAPI        2       MATEUS SUPERMERCADOS      149456      22          BOTA HIDROFUGADA BRANCA TAM 41          21         None     0.000000 2023-08-09 00:00:00.000
       100                                       ARMAZEM MATEUS S.A. CD 100 BALSAS        4         ARMAZEM MATEUS S.A       52711      15                            LUVA VAQUETA           2   160.000000     0.000000 2015-06-15 16:34:44.407
        23                              MATEUS SUPERMERCADOS S.A. SUPER CAJAZEIRAS        2       MATEUS SUPERMERCADOS       52704      72                       LUVA P/FRIO TAM G           4     5.000000     0.000000 2016-06-23 14:31:49.890
        12                                MATEUS SUPERMERCADOS S.A. SUPER RIO ANIL        2       MATEUS SUPERMERCADOS       52173      23        BOTA COM BICO DE PLASTICO TAM 38          18     1.000000     0.000000 2016-06-16 09:15:09.720
        15                              MATEUS SUPERMERCADOS S.A. SUPER ACAILANDIA        2       MATEUS SUPERMERCADOS       89960      21       BOTA PVC CANO MEDIO BRANCA TAM 39          19     1.000000     0.000000 2016-05-10 13:41:53.043
       116                                        ARMAZEM MATEUS SA - ITAPERA KM12        4         ARMAZEM MATEUS S.A      149337      21       BOTA PVC CANO MEDIO BRANCA TAM 34          14     2.000000     0.000000 2019-12-10 09:28:12.473
        30                                 MATEUS SUPERMERCADOS S.A. SUPER BACANGA        2       MATEUS SUPERMERCADOS       52003      23        BOTA COM BICO DE PLASTICO TAM 35          15     1.000000     0.000000 2016-03-01 11:40:31.697
        30                                 MATEUS SUPERMERCADOS S.A. SUPER BACANGA        2       MATEUS SUPERMERCADOS      149419      24            BOTA WORK BOOT MARRON TAM 42          22     3.000000     0.000000 2015-04-08 10:00:05.163
         5                                   MATEUS SUPERMERCADOS S.A. SUPER COHAB        2       MATEUS SUPERMERCADOS       52773      19             BOTA COM BICO DE ACO TAM 35          15     3.000000     0.000000 2015-07-31 18:16:22.080
        24                             MATEUS SUPERMERCADOS S.A. SUPER NOVA MARABA        2       MATEUS SUPERMERCADOS       52780      19             BOTA COM BICO DE ACO TAM 40          20     2.000000     0.000000 2016-04-24 09:00:13.923
       290                            MATEUS SUPERMERCADOS S.A. SUPER QUIXERAMOBIM        2       MATEUS SUPERMERCADOS      502380      89             BOTA WORK BOOT PRETA TAM 40          20     1.000000     0.000000 2024-01-31 09:55:34.783
         4                              MATEUS SUPERMERCADOS S.A. SUPER RUA GOIAS         2       MATEUS SUPERMERCADOS       89966      21       BOTA PVC CANO MEDIO BRANCA TAM 42          22     1.000000     0.000000 2016-04-16 16:36:19.103
        92                                   MATEUS SUPERMERCADOS S.A. MIX BACURI         2       MATEUS SUPERMERCADOS      149444      22          BOTA HIDROFUGADA BRANCA TAM 35          15     1.000000     0.000000 2016-03-12 09:11:17.137
        92                                   MATEUS SUPERMERCADOS S.A. MIX BACURI         2       MATEUS SUPERMERCADOS       89960      21       BOTA PVC CANO MEDIO BRANCA TAM 39          19     1.000000     0.000000 2016-04-19 19:30:09.147
        26                               MATEUS SUPERMERCADOS S.A. MIX NOVA MARABA        2       MATEUS SUPERMERCADOS      149370      19             BOTA COM BICO DE ACO TAM 34          14     4.000000     0.000000 2019-04-25 08:19:42.840
       508                       MATEUS SUPERMERCADOS S.A. MIX NOSSA SRA DA GLORIA        2       MATEUS SUPERMERCADOS      149457      22          BOTA HIDROFUGADA BRANCA TAM 42          22     1.000000     1.000000 2024-03-01 16:55:49.220
         7                                  MATEUS SUPERMERCADOS S.A. HIPER COHAMA        2       MATEUS SUPERMERCADOS      520417      76       BOTA COM BICO DE COMPOSITE TAM 34          14     1.000000     2.000000 2024-02-28 13:08:28.567
       203                               MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA        2       MATEUS SUPERMERCADOS      502383      89             BOTA WORK BOOT PRETA TAM 41          21     1.000000     1.000000 2024-03-05 10:31:10.457
       203                               MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA        2       MATEUS SUPERMERCADOS       89968      21       BOTA PVC CANO MEDIO BRANCA TAM 43          23     1.000000     1.000000 2023-12-02 18:30:39.547
         7                                  MATEUS SUPERMERCADOS S.A. HIPER COHAMA        2       MATEUS SUPERMERCADOS       89968      21       BOTA PVC CANO MEDIO BRANCA TAM 43          23     1.000000     4.000000 2024-01-10 11:46:53.937
        96                                MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO        2       MATEUS SUPERMERCADOS      310221      33                         MANGOTE TERMICO          11     1.000000     1.000000 2024-04-04 15:01:44.907
       502                             MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA        2       MATEUS SUPERMERCADOS       52378      23        BOTA COM BICO DE PLASTICO TAM 42          22     1.000000     0.000000 2024-04-12 19:35:08.300
        96                                MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO        2       MATEUS SUPERMERCADOS      520421      76       BOTA COM BICO DE COMPOSITE TAM 36          16     1.000000     2.000000 2024-04-04 15:01:44.907
         7                                  MATEUS SUPERMERCADOS S.A. HIPER COHAMA        2       MATEUS SUPERMERCADOS      520435      76       BOTA COM BICO DE COMPOSITE TAM 42          22     1.000000     2.000000 2024-03-30 09:18:47.857
       116                                        ARMAZEM MATEUS SA - ITAPERA KM12        4         ARMAZEM MATEUS S.A       89966      21       BOTA PVC CANO MEDIO BRANCA TAM 42          22     1.000000     0.000000 2019-03-01 18:51:27.793
       115                                        ARMAZEM MATEUS S.A. CD 115 BELEM        4         ARMAZEM MATEUS S.A       52699      58                       MANGOTE DE RASPA           11     2.000000     0.000000 2018-04-30 10:28:15.950
        93                                   MATEUS SUPERMERCADOS S.A. MIX MAIOBAO        2       MATEUS SUPERMERCADOS      149444      22          BOTA HIDROFUGADA BRANCA TAM 35          15     1.000000     0.000000 2016-03-02 08:56:02.790
        60                 INDUSTRIA DE PAES E MASSAS MATEUS LTDA. FABRICA DE PAES        1 INDUSTRIA DE MASSAS E PAES      149451      22          BOTA HIDROFUGADA BRANCA TAM 38          18    10.000000    14.000000 2024-03-06 08:24:12.877
       290                            MATEUS SUPERMERCADOS S.A. SUPER QUIXERAMOBIM        2       MATEUS SUPERMERCADOS       52716       4           OCULOS DE SEGURANï¿½A INCOLOR          11     1.000000     1.000000 2024-05-15 16:21:37.323
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS      149365      23        BOTA COM BICO DE PLASTICO TAM 33          13     1.000000     1.000000 2024-05-13 20:33:49.660
       502                             MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA        2       MATEUS SUPERMERCADOS       52701      13                    LUVA MALHA ACO TAM M           3     4.000000     4.000000 2024-05-07 11:27:51.860
       512                                   MATEUS SUPERMERCADOS S.A. MIX ITABUNA        2       MATEUS SUPERMERCADOS       89953      26            CALCA FRIGORIFICA AZUL TAM M           3     1.000000    11.000000 2024-05-15 18:06:15.277
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS      149396      24            BOTA WORK BOOT MARRON TAM 39          19     1.000000     0.000000 2024-05-18 11:26:00.330
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS       89960      21       BOTA PVC CANO MEDIO BRANCA TAM 39          19     1.000000     4.000000 2024-05-18 11:26:00.330
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS      502383      89             BOTA WORK BOOT PRETA TAM 41          21     1.000000     0.000000 2024-05-18 11:26:00.330
        60                 INDUSTRIA DE PAES E MASSAS MATEUS LTDA. FABRICA DE PAES        1 INDUSTRIA DE MASSAS E PAES       52773      19             BOTA COM BICO DE ACO TAM 35          15     1.000000     9.000000 2024-03-06 08:24:12.877
        94                                    MATEUS SUPERMERCADOS S.A. MIX BALSAS        2       MATEUS SUPERMERCADOS      149455      22          BOTA HIDROFUGADA BRANCA TAM 40          20     1.000000     0.000000 2016-04-11 10:10:08.347
       331                                 ARMAZEM MATEUS S.A. CD 331 SANTA ISABEL        4         ARMAZEM MATEUS S.A      149462      22          BOTA HIDROFUGADA BRANCA TAM 45          25     1.000000     0.000000 2021-06-07 13:02:06.400
        23                              MATEUS SUPERMERCADOS S.A. SUPER CAJAZEIRAS        2       MATEUS SUPERMERCADOS      149449      22          BOTA HIDROFUGADA BRANCA TAM 37          17     1.000000     0.000000 2016-03-23 17:00:00.590
        87                                   ARMAZEM MATEUS S.A. CD 87 DAVINOPOLIS        4         ARMAZEM MATEUS S.A       52703       6                         LUVA PIGMENTADA          11   200.000000     0.000000 2019-01-03 16:03:37.273
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       89964      21       BOTA PVC CANO MEDIO BRANCA TAM 41          21     1.000000     0.000000 2016-05-20 09:43:13.717
        92                                   MATEUS SUPERMERCADOS S.A. MIX BACURI         2       MATEUS SUPERMERCADOS       52784      19             BOTA COM BICO DE ACO TAM 44          24     1.000000     0.000000 2016-03-01 09:13:26.743
        95                                MATEUS SUPERMERCADOS S.A. MIX TAMANDARE         2       MATEUS SUPERMERCADOS       52779      19             BOTA COM BICO DE ACO TAM 37          17     1.000000     0.000000 2016-05-12 16:52:20.987
        20                                   MATEUS SUPERMERCADOS S.A. MIX VINHAIS        2       MATEUS SUPERMERCADOS       89966      21       BOTA PVC CANO MEDIO BRANCA TAM 42          22     1.000000     0.000000 2016-06-23 10:50:28.647
        91                                MATEUS SUPERMERCADOS S.A. MIX SANTA INES        2       MATEUS SUPERMERCADOS       52112      23        BOTA COM BICO DE PLASTICO TAM 37          17     1.000000     0.000000 2016-01-22 11:20:17.647
         6                                  MATEUS SUPERMERCADOS S.A. - RENASCENCA        2       MATEUS SUPERMERCADOS      149337      21       BOTA PVC CANO MEDIO BRANCA TAM 34          14     1.000000     0.000000 2014-08-25 16:00:30.677
        12                                MATEUS SUPERMERCADOS S.A. SUPER RIO ANIL        2       MATEUS SUPERMERCADOS       52333      23        BOTA COM BICO DE PLASTICO TAM 40          20     1.000000     0.000000 2016-04-21 08:56:25.363
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       89969      21       BOTA PVC CANO MEDIO BRANCA TAM 44          24     1.000000     0.000000 2015-08-04 17:00:02.660
        30                                 MATEUS SUPERMERCADOS S.A. SUPER BACANGA        2       MATEUS SUPERMERCADOS       52704      72                       LUVA P/FRIO TAM G           4     6.000000     0.000000 2016-05-26 08:10:15.797
         5                                   MATEUS SUPERMERCADOS S.A. SUPER COHAB        2       MATEUS SUPERMERCADOS      240533      25          JAPONA FRIGORIFICA AZUL TAM XG           9     1.000000     0.000000 2015-05-26 21:02:02.467
        15                              MATEUS SUPERMERCADOS S.A. SUPER ACAILANDIA        2       MATEUS SUPERMERCADOS       52716       4           OCULOS DE SEGURANï¿½A INCOLOR          11     1.000000     0.000000 2016-04-13 10:33:51.130
         4                              MATEUS SUPERMERCADOS S.A. SUPER RUA GOIAS         2       MATEUS SUPERMERCADOS      243810      34         SAPATO STICK SHOE BRANCO TAM 39          19     1.000000     0.000000 2015-09-30 17:59:01.067
        10                                      MATEUS SUPERMERCADOS S.A. JARACATI        2       MATEUS SUPERMERCADOS       52380      23        BOTA COM BICO DE PLASTICO TAM 43          23     1.000000     0.000000 2016-04-25 08:27:01.277
        96                                MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO        2       MATEUS SUPERMERCADOS       52696      27                      AVENTAL PVC BRANCO          11     1.000000     0.000000 2017-01-27 10:36:45.140
        27                                    MATEUS SUPERMERCADOS S.A. SUPER TURU        2       MATEUS SUPERMERCADOS       89953      26            CALCA FRIGORIFICA AZUL TAM M           3     3.000000     0.000000 2016-02-25 14:00:27.760
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       52784      19             BOTA COM BICO DE ACO TAM 44          24     1.000000     0.000000 2016-05-20 09:43:13.717
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       89950      25           JAPONA FRIGORIFICA AZUL TAM M           3     3.000000     0.000000 2016-06-23 09:35:25.607
        27                                    MATEUS SUPERMERCADOS S.A. SUPER TURU        2       MATEUS SUPERMERCADOS      149458      22          BOTA HIDROFUGADA BRANCA TAM 43          23     4.000000     0.000000 2013-07-17 11:54:30.647
        37                                     MATEUS SUPERMERCADOS S.A. MIX BELEM        2       MATEUS SUPERMERCADOS      502326       3                        BALACLAVA BRANCA          11         None     0.000000 2023-08-04 00:00:00.000
       253                            MATEUS SUPERMERCADOS S.A. MIX BELEM PEDREIRA        2       MATEUS SUPERMERCADOS       52716       4           OCULOS DE SEGURANï¿½A INCOLOR          11         None     0.000000 2023-08-02 00:00:00.000
       423                                     POSTERUS SUPERMERCADOS LTDA. TUCUMA       15     POSTERUS SUPERMERCADOS       52698      44                MASCARA DESCARTAVEL PFF2          11     0.000000     0.000000 2023-08-08 00:00:00.000
       211                                MATEUS SUPERMERCADOS S.A. SUPER PIRIPIRI        2       MATEUS SUPERMERCADOS       89961      21       BOTA PVC CANO MEDIO BRANCA TAM 40          20         None     0.000000 2023-08-09 00:00:00.000
       253                            MATEUS SUPERMERCADOS S.A. MIX BELEM PEDREIRA        2       MATEUS SUPERMERCADOS       52328      23        BOTA COM BICO DE PLASTICO TAM 39          19         None     0.000000 2023-08-01 00:00:00.000
        46                                 MATEUS SUPERMERCADOS S.A. SUPER MAGUARI        2       MATEUS SUPERMERCADOS      243806      34         SAPATO STICK SHOE BRANCO TAM 35          15     0.000000     0.000000 2023-08-03 00:00:00.000
        22                     MATEUS SUPERMERCADOS S.A. SUPER IMPERIAL IMPERATRIZ        2       MATEUS SUPERMERCADOS       52776      19             BOTA COM BICO DE ACO TAM 38          18     2.000000     0.000000 2016-05-11 10:30:57.107
        23                              MATEUS SUPERMERCADOS S.A. SUPER CAJAZEIRAS        2       MATEUS SUPERMERCADOS       52780      19             BOTA COM BICO DE ACO TAM 40          20     3.000000     0.000000 2016-04-21 08:40:26.427
         1                                  MATEUS SUPERMERCADOS S.A. HIPER BALSAS        2       MATEUS SUPERMERCADOS      149428       5              OCULOS DE SEGURANÇA ESCURO          11     1.000000     0.000000 2013-04-15 17:40:20.810
       508                       MATEUS SUPERMERCADOS S.A. MIX NOSSA SRA DA GLORIA        2       MATEUS SUPERMERCADOS      193745      16             CINTO SEG PARAQ 3PTS LOMBAR          11     1.000000     1.000000 2024-01-30 12:40:49.737
         7                                  MATEUS SUPERMERCADOS S.A. HIPER COHAMA        2       MATEUS SUPERMERCADOS      283347      90          SAPATO STICK SHOE PRETO TAM 39          19     2.000000     1.000000 2024-01-10 11:31:07.540
        30                                 MATEUS SUPERMERCADOS S.A. SUPER BACANGA        2       MATEUS SUPERMERCADOS       52696      27                      AVENTAL PVC BRANCO          11     1.000000     0.000000 2016-06-22 11:54:44.477
        68                            MATEUS SUPERMERCADOS S.A. ELETRO SANTA LUZIA        2       MATEUS SUPERMERCADOS       52777      19             BOTA COM BICO DE ACO TAM 39          19     1.000000     0.000000 2016-02-15 11:00:00.543
        24                             MATEUS SUPERMERCADOS S.A. SUPER NOVA MARABA        2       MATEUS SUPERMERCADOS      149452      22          BOTA HIDROFUGADA BRANCA TAM 39          19     1.000000     0.000000 2016-04-23 18:40:49.867
        30                                 MATEUS SUPERMERCADOS S.A. SUPER BACANGA        2       MATEUS SUPERMERCADOS       52776      19             BOTA COM BICO DE ACO TAM 38          18     4.000000     0.000000 2016-04-25 08:33:54.760
        15                              MATEUS SUPERMERCADOS S.A. SUPER ACAILANDIA        2       MATEUS SUPERMERCADOS       52696      27                      AVENTAL PVC BRANCO          11     2.000000     0.000000 2016-05-10 13:41:53.043
        95                                MATEUS SUPERMERCADOS S.A. MIX TAMANDARE         2       MATEUS SUPERMERCADOS      243806      34         SAPATO STICK SHOE BRANCO TAM 35          15     1.000000     0.000000 2015-09-11 16:31:28.513
        94                                    MATEUS SUPERMERCADOS S.A. MIX BALSAS        2       MATEUS SUPERMERCADOS       52776      19             BOTA COM BICO DE ACO TAM 38          18     1.000000     0.000000 2016-01-13 11:00:14.790
        20                                   MATEUS SUPERMERCADOS S.A. MIX VINHAIS        2       MATEUS SUPERMERCADOS       89952       1      CAPACETE ABA FRONTA AMARELO C/CARN          11     3.000000     0.000000 2015-08-28 13:31:29.820
        26                               MATEUS SUPERMERCADOS S.A. MIX NOVA MARABA        2       MATEUS SUPERMERCADOS       51957      23        BOTA COM BICO DE PLASTICO TAM 34          14     4.000000     0.000000 2019-04-25 08:19:42.840
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS      149459      22          BOTA HIDROFUGADA BRANCA TAM 44          24     1.000000     0.000000 2016-06-05 09:08:25.660
        18                                MATEUS SUPERMERCADOS S.A. SUPER COHATRAC        2       MATEUS SUPERMERCADOS       52784      19             BOTA COM BICO DE ACO TAM 44          24     1.000000     0.000000 2016-02-22 20:40:00.890
         6                                  MATEUS SUPERMERCADOS S.A. - RENASCENCA        2       MATEUS SUPERMERCADOS       89969      21       BOTA PVC CANO MEDIO BRANCA TAM 44          24     1.000000     0.000000 2015-09-04 15:40:08.380
        15                              MATEUS SUPERMERCADOS S.A. SUPER ACAILANDIA        2       MATEUS SUPERMERCADOS      149390      24            BOTA WORK BOOT MARRON TAM 38          18     2.000000     0.000000 2015-12-05 11:00:40.207
        20                                   MATEUS SUPERMERCADOS S.A. MIX VINHAIS        2       MATEUS SUPERMERCADOS      149446      22          BOTA HIDROFUGADA BRANCA TAM 36          16     2.000000     0.000000 2016-04-16 15:01:03.660
       115                                        ARMAZEM MATEUS S.A. CD 115 BELEM        4         ARMAZEM MATEUS S.A       52112      23        BOTA COM BICO DE PLASTICO TAM 37          17    20.000000     0.000000 2019-01-16 18:20:40.877
        91                                MATEUS SUPERMERCADOS S.A. MIX SANTA INES        2       MATEUS SUPERMERCADOS      149444      22          BOTA HIDROFUGADA BRANCA TAM 35          15     1.000000     0.000000 2015-04-24 11:20:11.943
       290                            MATEUS SUPERMERCADOS S.A. SUPER QUIXERAMOBIM        2       MATEUS SUPERMERCADOS      149456      22          BOTA HIDROFUGADA BRANCA TAM 41          21     1.000000     2.000000 2024-05-15 15:52:03.500
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS       52711      15                            LUVA VAQUETA           2     5.000000     3.000000 2024-04-19 19:49:23.047
       512                                   MATEUS SUPERMERCADOS S.A. MIX ITABUNA        2       MATEUS SUPERMERCADOS       52173      23        BOTA COM BICO DE PLASTICO TAM 38          18     1.000000     2.000000 2024-05-09 07:33:35.293
       276                                    MATEUS SUPERMERCADOS S.A. MIX BENGUI        2       MATEUS SUPERMERCADOS       52173      23        BOTA COM BICO DE PLASTICO TAM 38          18     1.000000     0.000000 2024-05-16 12:04:21.617
        60                 INDUSTRIA DE PAES E MASSAS MATEUS LTDA. FABRICA DE PAES        1 INDUSTRIA DE MASSAS E PAES       95169      74              LUVA NITRILICA VERDE TAM P           2     1.000000     1.000000 2024-02-29 16:05:12.103
        87                                   ARMAZEM MATEUS S.A. CD 87 DAVINOPOLIS        4         ARMAZEM MATEUS S.A       52328      23        BOTA COM BICO DE PLASTICO TAM 39          19    10.000000     0.000000 2019-01-03 16:03:37.273
        22                     MATEUS SUPERMERCADOS S.A. SUPER IMPERIAL IMPERATRIZ        2       MATEUS SUPERMERCADOS       89953      26            CALCA FRIGORIFICA AZUL TAM M           3     2.000000     0.000000 2015-11-26 11:50:14.897
         4                              MATEUS SUPERMERCADOS S.A. SUPER RUA GOIAS         2       MATEUS SUPERMERCADOS       51957      23        BOTA COM BICO DE PLASTICO TAM 34          14     1.000000     0.000000 2016-04-04 14:53:09.187
        92                                   MATEUS SUPERMERCADOS S.A. MIX BACURI         2       MATEUS SUPERMERCADOS       89953      26            CALCA FRIGORIFICA AZUL TAM M           3     9.000000     0.000000 2016-01-23 11:11:52.203
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       52735      28                         AVENTAL TERMICO          11     4.000000     0.000000 2015-05-30 17:00:26.710
        15                              MATEUS SUPERMERCADOS S.A. SUPER ACAILANDIA        2       MATEUS SUPERMERCADOS       89950      25           JAPONA FRIGORIFICA AZUL TAM M           3     2.000000     0.000000 2015-11-25 17:51:31.907
        24                             MATEUS SUPERMERCADOS S.A. SUPER NOVA MARABA        2       MATEUS SUPERMERCADOS      149446      22          BOTA HIDROFUGADA BRANCA TAM 36          16     1.000000     0.000000 2016-02-23 16:50:08.093
        91                                MATEUS SUPERMERCADOS S.A. MIX SANTA INES        2       MATEUS SUPERMERCADOS       89959      21       BOTA PVC CANO MEDIO BRANCA TAM 38          18     1.000000     0.000000 2016-04-10 09:59:01.253
       211                                MATEUS SUPERMERCADOS S.A. SUPER PIRIPIRI        2       MATEUS SUPERMERCADOS       89966      21       BOTA PVC CANO MEDIO BRANCA TAM 42          22         None     0.000000 2023-08-09 00:00:00.000
       271                                  MATEUS SUPERMERCADOS S.A. MIX FLORIANO        2       MATEUS SUPERMERCADOS      361264      80                        LUVA DE PU TAM G           4         None     0.000000 2023-08-11 00:00:00.000
       271                                  MATEUS SUPERMERCADOS S.A. MIX FLORIANO        2       MATEUS SUPERMERCADOS       89950      25           JAPONA FRIGORIFICA AZUL TAM M           3         None     0.000000 2023-08-11 00:00:00.000
        37                                     MATEUS SUPERMERCADOS S.A. MIX BELEM        2       MATEUS SUPERMERCADOS       52783      19             BOTA COM BICO DE ACO TAM 43          23     0.000000     0.000000 2023-08-04 00:00:00.000
       208                       MATEUS SUPERMERCADOS S.A. SUPER CANAA DOS CARAJAS        2       MATEUS SUPERMERCADOS       89961      21       BOTA PVC CANO MEDIO BRANCA TAM 40          20         None     0.000000 2023-08-01 00:00:00.000
       268                               MATEUS SUPERMERCADOS S.A. MIX PARAGOMINAS        2       MATEUS SUPERMERCADOS      174348      25           JAPONA FRIGORIFICA AZUL TAM G           4         None     0.000000 2023-08-09 00:00:00.000
       261                                  MATEUS SUPERMERCADOS S.A. MIX REDENCAO        2       MATEUS SUPERMERCADOS       52716       4           OCULOS DE SEGURANï¿½A INCOLOR          11         None     0.000000 2023-08-08 00:00:00.000
       437                      POSTERUS SUPERMERCADOS LTDA. CONCEICAO DO ARAGUAIA       15     POSTERUS SUPERMERCADOS       89961      21       BOTA PVC CANO MEDIO BRANCA TAM 40          20         None     0.000000 2023-08-08 00:00:00.000
        46                                 MATEUS SUPERMERCADOS S.A. SUPER MAGUARI        2       MATEUS SUPERMERCADOS      243808      34         SAPATO STICK SHOE BRANCO TAM 37          17     0.000000     0.000000 2023-08-03 00:00:00.000
       252                         MATEUS SUPERMERCADOS S.A. MIX TERESINA-NOVAFAPI        2       MATEUS SUPERMERCADOS       52397      23        BOTA COM BICO DE PLASTICO TAM 45          25         None     0.000000 2023-08-09 00:00:00.000
       416                                    POSTERUS SUPERMERCADOS LTDA. JACUNDA       15     POSTERUS SUPERMERCADOS       52705      72                       LUVA P/FRIO TAM M           3     0.000000     0.000000 2023-08-08 00:00:00.000
        18                                MATEUS SUPERMERCADOS S.A. SUPER COHATRAC        2       MATEUS SUPERMERCADOS       95171      74              LUVA NITRILICA VERDE TAM G           4    12.000000     0.000000 2016-04-21 08:20:23.640
       415                               POSTERUS SUPERMERCADOS LTDA. SAO BERNARDO       15     POSTERUS SUPERMERCADOS       52779      19             BOTA COM BICO DE ACO TAM 37          17     1.000000     0.000000 2023-11-28 12:45:56.727
        26                               MATEUS SUPERMERCADOS S.A. MIX NOVA MARABA        2       MATEUS SUPERMERCADOS       52776      19             BOTA COM BICO DE ACO TAM 38          18     1.000000     0.000000 2016-05-10 10:02:37.417
        31                             MATEUS SUPERMERCADOS S.A. SUPER PATIO NORTE        2       MATEUS SUPERMERCADOS      149396      24            BOTA WORK BOOT MARRON TAM 39          19     1.000000     0.000000 2015-09-28 11:40:25.070
         6                                  MATEUS SUPERMERCADOS S.A. - RENASCENCA        2       MATEUS SUPERMERCADOS      243811      34         SAPATO STICK SHOE BRANCO TAM 40          20     1.000000     0.000000 2015-06-27 17:00:15.017
        93                                   MATEUS SUPERMERCADOS S.A. MIX MAIOBAO        2       MATEUS SUPERMERCADOS      149382      24            BOTA WORK BOOT MARRON TAM 36          16     1.000000     0.000000 2013-12-13 15:15:20.593
       115                                        ARMAZEM MATEUS S.A. CD 115 BELEM        4         ARMAZEM MATEUS S.A      149374      24            BOTA WORK BOOT MARRON TAM 35          15     1.000000     0.000000 2018-08-20 14:37:09.967
        22                     MATEUS SUPERMERCADOS S.A. SUPER IMPERIAL IMPERATRIZ        2       MATEUS SUPERMERCADOS       52716       4           OCULOS DE SEGURANï¿½A INCOLOR          11     1.000000     0.000000 2016-04-11 18:15:19.200
        12                                MATEUS SUPERMERCADOS S.A. SUPER RIO ANIL        2       MATEUS SUPERMERCADOS       91211      10                   LUVA ALTA TENSAO 1 KV          11     2.000000     0.000000 2013-12-24 20:06:10.667
       101                                     ARMAZEM MATEUS S.A. CD 101 TERESINA        4         ARMAZEM MATEUS S.A       95170      74              LUVA NITRILICA VERDE TAM M           3     3.000000     0.000000 2014-10-08 16:40:07.130
        20                                   MATEUS SUPERMERCADOS S.A. MIX VINHAIS        2       MATEUS SUPERMERCADOS       51957      23        BOTA COM BICO DE PLASTICO TAM 34          14     1.000000     0.000000 2016-05-07 13:20:05.737
        91                                MATEUS SUPERMERCADOS S.A. MIX SANTA INES        2       MATEUS SUPERMERCADOS      149449      22          BOTA HIDROFUGADA BRANCA TAM 37          17     2.000000     0.000000 2015-11-21 11:40:47.943
        10                                      MATEUS SUPERMERCADOS S.A. JARACATI        2       MATEUS SUPERMERCADOS      149452      22          BOTA HIDROFUGADA BRANCA TAM 39          19     1.000000     0.000000 2015-09-24 17:40:00.880
       115                                        ARMAZEM MATEUS S.A. CD 115 BELEM        4         ARMAZEM MATEUS S.A      149444      22          BOTA HIDROFUGADA BRANCA TAM 35          15     5.000000     0.000000 2018-11-06 18:22:05.437
         5                                   MATEUS SUPERMERCADOS S.A. SUPER COHAB        2       MATEUS SUPERMERCADOS      240535      26           CALCA FRIGORIFICA AZUL TAM XG           9     1.000000     0.000000 2015-05-26 21:02:02.467
       331                                 ARMAZEM MATEUS S.A. CD 331 SANTA ISABEL        4         ARMAZEM MATEUS S.A      283349      90          SAPATO STICK SHOE PRETO TAM 41          21    13.000000     0.000000 2021-06-07 13:02:06.400
         5                                   MATEUS SUPERMERCADOS S.A. SUPER COHAB        2       MATEUS SUPERMERCADOS       95170      74              LUVA NITRILICA VERDE TAM M           3     3.000000     0.000000 2015-08-05 17:52:17.447
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       63281      29                 PROTETOR AURICULAR PLUG          11     2.000000     0.000000 2015-06-04 16:30:00.350
        28                               MATEUS SUPERMERCADOS S.A. MIX PARAUAPEBAS        2       MATEUS SUPERMERCADOS       52334      23        BOTA COM BICO DE PLASTICO TAM 41          21     5.000000     0.000000 2016-02-14 10:50:11.577
        27                                    MATEUS SUPERMERCADOS S.A. SUPER TURU        2       MATEUS SUPERMERCADOS      149451      22          BOTA HIDROFUGADA BRANCA TAM 38          18     1.000000     0.000000 2016-03-24 17:11:45.277
        11                         MATEUS SUPERMERCADOS S.A. SUPER CIDADE OPERARIA        2       MATEUS SUPERMERCADOS       52695      41                   LUVA TERMICA P/FRANGO          11     1.000000     0.000000 2015-12-16 13:11:12.317
