id_filial,descricao,empresa,desc_empresa,id_produto,id_epi,descricao_produto,id_tamanho,qtde_entrada,saldoestoque,dataentrada
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,52781,19,BOTA COM BICO DE ACO TAM 42,22,1.000000,0.000000,2016-06-16 12:11:14.530
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,149456,22,BOTA HIDROFUGADA BRANCA TAM 41,21,1.000000,0.000000,2016-06-16 12:11:14.530
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,149451,22,BOTA HIDROFUGADA BRANCA TAM 38,18,1.000000,0.000000,2016-06-16 12:11:14.530
