id_filial,descricao,empresa,desc_empresa,id_produto,id_epi,descricao_produto,id_tamanho,qtde_entrada,saldoestoque,dataentrada
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,89966,21,BOTA PVC CANO MEDIO BRANCA TAM 42,22,2.000000,0.000000,2024-05-20 15:18:21.063
60,INDUSTRIA DE PAES E MASSAS MATEUS LTDA. FABRICA DE PAES,1,INDUSTRIA DE MASSAS E PAES,89953,26,CALCA FRIGORIFICA AZUL TAM M,3,1.000000,11.000000,2024-05-19 18:24:33.800
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,89961,21,BOTA PVC CANO MEDIO BRANCA TAM 40,20,1.000000,0.000000,2024-05-28 10:04:17.853
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,28.000000,2024-05-08 09:15:52.090
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52704,72,LUVA P/FRIO TAM G,4,1.000000,4.000000,2024-05-08 09:26:23.573
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52704,72,LUVA P/FRIO TAM G,4,1.000000,2.000000,2024-05-08 09:45:49.780
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,92471,8,LUVA LATEX TAM M,3,1.000000,-1.000000,2024-05-08 10:16:49.047
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,19.000000,2024-05-13 18:23:46.717
512,MATEUS SUPERMERCADOS S.A. MIX ITABUNA,2,MATEUS SUPERMERCADOS,502326,3,BALACLAVA BRANCA,11,1.000000,14.000000,2024-05-16 07:58:44.143
3,MATEUS SUPERMERCADOS S.A. SUPER SANTA INES,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,12.000000,2024-05-17 09:37:28.007
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,89961,21,BOTA PVC CANO MEDIO BRANCA TAM 40,20,1.000000,3.000000,2024-05-18 11:26:00.837
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,52173,23,BOTA COM BICO DE PLASTICO TAM 38,18,5.000000,7.000000,2024-05-20 15:18:21.060
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,15.000000,2024-05-28 09:59:44.507
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,502312,77,AVENTAL EM VINIL TRANSPARENTE,11,1.000000,14.000000,2024-05-28 10:10:24.763
502,MATEUS SUPERMERCADOS S.A. SUPER SANTA CLARA,2,MATEUS SUPERMERCADOS,52701,13,LUVA MALHA ACO TAM M,3,1.000000,1.000000,2024-05-07 09:16:58.793
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,89953,26,CALCA FRIGORIFICA AZUL TAM M,3,1.000000,-14.000000,2024-05-08 10:42:58.560
512,MATEUS SUPERMERCADOS S.A. MIX ITABUNA,2,MATEUS SUPERMERCADOS,89953,26,CALCA FRIGORIFICA AZUL TAM M,3,1.000000,10.000000,2024-05-09 07:33:36.410
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,89960,21,BOTA PVC CANO MEDIO BRANCA TAM 39,19,1.000000,3.000000,2024-05-13 20:33:50.007
512,MATEUS SUPERMERCADOS S.A. MIX ITABUNA,2,MATEUS SUPERMERCADOS,89953,26,CALCA FRIGORIFICA AZUL TAM M,3,1.000000,11.000000,2024-05-15 18:06:18.640
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,89950,25,JAPONA FRIGORIFICA AZUL TAM M,3,1.000000,-12.000000,2024-05-17 19:09:29.550
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,89960,21,BOTA PVC CANO MEDIO BRANCA TAM 39,19,1.000000,4.000000,2024-05-18 11:26:00.837
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,52783,19,BOTA COM BICO DE ACO TAM 43,23,2.000000,1.000000,2024-05-20 15:18:21.063
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,89950,25,JAPONA FRIGORIFICA AZUL TAM M,3,1.000000,-13.000000,2024-05-21 11:16:31.910
203,MATEUS SUPERMERCADOS S.A. SUPER TAILANDIA,2,MATEUS SUPERMERCADOS,520425,76,BOTA COM BICO DE COMPOSITE TAM 37,17,1.000000,0.000000,2024-05-29 12:27:08.603
415,POSTERUS SUPERMERCADOS LTDA. SAO BERNARDO,15,POSTERUS SUPERMERCADOS,149459,22,BOTA HIDROFUGADA BRANCA TAM 44,24,1.000000,-1.000000,2024-05-29 11:22:26.143
415,POSTERUS SUPERMERCADOS LTDA. SAO BERNARDO,15,POSTERUS SUPERMERCADOS,149459,22,BOTA HIDROFUGADA BRANCA TAM 44,24,1.000000,0.000000,2024-05-29 14:39:57.347
20,MATEUS SUPERMERCADOS S.A. MIX VINHAIS,2,MATEUS SUPERMERCADOS,89952,1,CAPACETE ABA FRONTA AMARELO C/CARN,11,10.000000,110.000000,2024-06-03 17:18:13.023
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,149451,22,BOTA HIDROFUGADA BRANCA TAM 38,18,1.000000,0.000000,2024-05-31 14:38:46.703
276,MATEUS SUPERMERCADOS S.A. MIX BENGUI,2,MATEUS SUPERMERCADOS,52711,15,LUVA VAQUETA,2,1.000000,3.000000,2024-05-08 10:23:32.720
96,MATEUS SUPERMERCADOS S.A. MIX JOAO PAULO,2,MATEUS SUPERMERCADOS,52780,19,BOTA COM BICO DE ACO TAM 40,20,1.000000,-3.000000,2024-05-09 08:45:06.043
285,MATEUS SUPERMERCADOS S.A. SUPER CRATEUS,2,MATEUS SUPERMERCADOS,149459,22,BOTA HIDROFUGADA BRANCA TAM 44,24,1.000000,-1.000000,2024-05-10 14:25:27.837
